"location","company_name","job_title","job_description"
"Brussel","Esn","EDCC Project Manager","The Europe Direct Contact Centre (EDCC) answers around 120,000 enquiries per year in all 24 official European languages on EU related matters. To help answer enquiries in a professional, accurate and timely manner, we are looking for a Project Manager to be based either in Brussels or Lisbon.

Mission

The EDCC Project Manager will work with the EDCC Deputy Project Manager to complete the following functions:
Managing a multi-lingual, multi-location team of communication officers and supervisors
Ensuring day-to-day respect of SLAs and performance indicators
Taking remedial measures where necessary to ensure respect of SLAs and performance indicators
Regular reporting to the European Commission, including on key SLAs and performance indicators
Back-up point of contact for the European Commission
Liaison with key stakeholders within the European Commission
Planning and daily assistance on the work floor
Individual feedback, coaching, motivation and support
Coordination with the trainer and knowledge officer on trainings and training needs
Drafting and answering enquiries where needed and in moments of high demand
Staff management: Recruitment, HR management
Quality control
Profile
Previous management experience in a similar setting (=international call centre / EU policy type environment) of minimum five years
Master’s degree in EU studies or similar
Strong language skills: C2 level of English + at least one additional official EU language (C2 level) is essential. An extra choice of languages would be preferred.
A demonstrated grasp of EU policies, institutions and activities
Critical thinker, proactive, innovative, hands-on and solution focused approach
Demonstrated interpersonal skills in a multicultural environment
Professional organisation and planning skills, including time management, priority setting and multitasking
Leads by example
Contact

Please send an up-to-date CV and motivation letter using the online form. Candidates matching all of the characteristics listed above will be called for a first interview."
"Brussel","CRI Group","Project manager","IT Project Management service to manage the rollout of the Centralised Clearance for Import project.

The conformance tests activities for CCI P1 with the initial Member States are planned to be launched in Q1 2022. The rollout will be finished by Q4 2023.

The main activities will be:
Manage and follow up all the ongoing projects related to the CCI Phase 1, ensuring that the procedures and applicable methodologies are followed and quality objectives are achieved;
Structure, plan, organise and monitor the project(s) he/she is responsible for during some or all its (their) life cycle phases, contributing to the program planning and delivery of artefacts according to the contract planning of deliveries;
Work with BPM diagrams and other artifacts in ARIS using the CoRA methodology;
Escalate risk and issues, in particular the ones with potential impacts on time or resources;
Ensure compliance with internal standards, such as ITIL, TEMPO, PM2 (similar to PMI or Prince 2), CoRA, SLDC, IFPUG, ... raising warnings in case of non-respect of these;
Produce and/or review documents and deliverables from contractors or other project stakeholders, both of technical nature or related to customs business, especially in the area of imports;
Evaluate technical offers of TAXUD contractors and vendors;
Provide suggestions for service, procedures or methodology improvements;
Ensure that the Conformance Test and deployment activities of all MSs progress according to plan;
Systematic progress assessment and timely reporting on the project status (tasks progress, plan, actions, risks, issues, decisions, changes, KPI, etc.) within DG TAXUD and/or with National Administrations or other partners;
Coordinate the projects' various stakeholders (DG TAXUD business and IT teams, subcontractors' teams, COTS providers, Member States' representatives, users, etc.);
Participate and contribute in meetings with DG TAXUD, contractors, National Administrations and/or other partners including preparing material for these meetings.
Coordinate and engage with the operational and infrastructure contractor to ensure the correct and timely delivery of infrastructure;
Coordinate with and support the activities of CCI Phase 2 related to Conformance Test and deployment;"
"Brussel","European Pain Federation EFIC","Association and Project Manager","The European Pain Federation EFIC is looking for a self-starting, ambitious and conscientious individual to support its partner organisation Pain Alliance Europe. Pain Alliance Europe (PAE) is a non-profit organisation based in Belgium, functioning as an umbrella organisation of 40 national and regional associations in 17 European countries, concerned with chronic pain, regardless the underlying condition. PAE require an Association and Projects Manager to manage its administration and key projects, as well as to represent the organisation as a first point of contact in Europe.

The Association and Projects Manager would be contracted to the European Pain Federation EFIC, a non-profit organisation representing clinicians and researchers in the field of pain. EFIC would maintain primary responsibility over the individual in terms of the contract, legal responsibility, working conditions, performance review and termination. The Association and Projects Manager would take day-to-day supervision and tasks from the President of Pain Alliance Europe, and would take long-term strategic direction from the Pain Alliance Europe board.

Remuneration and contract terms will be discussed during the interview.

Flexibility will be provided in terms of location of work, though you will be expected to work partly from the PAE offices in Brussels.

The start date is 3rd January or asap.

Applications to be sent to secretary@efic.org
Deadline Monday 13 December – interviews will start sooner so applicants are encouraged to apply earlier than the deadline

Interviews are expected in December.

Person specification:

 Essential

Excellent written and spoken English
Self-starting and able to work independently
Capable of working remotely from line manager and keeping task oriented with minimal supervision
Good organiser, capable of managing the administration of a non-profit organisation
Ability to meet external stakeholders on behalf of the organisation and represent the organisation professionally
Legal right to work in the European Union
Familiarity with Microsoft Office, Outlook and standard professional IT tools
Familiarity with communications and social media tools and activities
Able to work with and guide external service providers such as accountants and IT professionals
Has some basic familiarity with book-keeping and budget setting
Passionate about supporting a non-profit organisation with a public health mission

 Desirable

Working knowledge of Dutch and/or French
Understanding of non-profit organisations in Belgium
Understanding of the European Union and the role of public health organisations in Brussels
Understanding of chronic pain and related healthcare issues
Experience in project management, particularly with regards to political and awareness raising campaigns, events organisation, or prize competitions
Has worked with or for patient representatives and understands the unique role of patients in health policy debates
Has worked in a fundraising or sponsorship-raising role

 Responsibilities:

Being the main point of contact for a non-profit organisation in Brussels
Providing administrative support to PAE as a partner of EFIC
Day-to-day administration and book-keeping
Day-to-day management of logistics, office space, and stationery
Day-to-day management of social media
Support for project management (e.g. campaigns and surveys)
Support for fundraising initiatives
Event management
Logistical support to volunteers

Do not forget to mention that you found this job ad on the EURACTIV Jobsite!"
"Eigenbrakel","Aisin Europe","Senior Purchasing Project Manager","Our OEM Purchasing team, located on the Braine-l'Alleud site, whose mission is to ensure the complete procurement process ( selection of suppliers,negotiation and also project follow up) of supplies for direct purchases of the European Aisin plants, is currently looking for a Senior Purchasing Project Manager to strengthen this team.

YOUR JOB
Collect, analyze, understand and refine project purchasing requirements (i.e. Volumes, technical requirements, costing targets,…), in close collaboration with the project requestor and commodity purchasing team.
In collaboration with relevant stakeholders, formulate the masterschedule (i.e. planning, risk mitigation, quality control) and coördinate project purchasing meetings
Take up purchasing project leadership /execute project to ensure; project deliverables and progress are compliant with project plan, milestones/stage-gates are secured, risks are mitigated, and insight in the progress of the project for all stakeholders is provided.
Collect up supplier and costing information from the Commodity Purchasing teams and summarize
Ensure ongoing monitoring and periodic and ad hoc reporting (quantitative and qualitative) on project status, according to Aisin Europe’s reporting standards and formats.
In collaboration with the Japanese coordinators/ OEM Purchasing management assure the global sourcing strategy allignment with headquarter
With a master degree and technical affinity, you have acquired five to eight years of experience in a purchasing department or project management or coördinating role, preferably in an industrial environment; Experience in the Automotive industry is an asset.
You have a good command of Office 365 (excel, word, powerpoint);
Rigorous, dynamic, methodical, precise and assertive person, you demonstrate good communication and negotiation skills with your internal customers
Demonstrating excellent organization, you know how to manage your tasks according to priorities;
Adopting a positive attitude, you work effectively in a team and know how to be flexible.
An unique opportunity to join a dynamic team; a diversified function combining technical, relational and organizational aspects, with remarkable products & business perspectives in continuous evolution; an open, multicultural and international environment;

A modern and pleasant work environment with convenient access to Braine - L’Alleud (south of Brussels); an attractive salary with competitive fringe benefits including a company car.

Fluent in English - Any additional language is an asset."
"Antwerpen","WeAreOne.world BVBA","nieuwProject Manager Tomorrowland Music","Description
Tomorrowland Music is a dedicated music division within Tomorrowland, collaborating closely with both artists and labels, supporting them in all recording and release activities.
We want to expand our team with an experienced Project Manager.
Responsibilities
You are responsible for the development and execution of marketing campaigns for the artists and releases on the Tomorrowland Music roster.
You’ll be devising creative and effective marketing & promotion plans in close cooperation with the artists and their teams, and the internal stakeholders.
You’ll determine project budgets and P&Ls, monitor performances, report back to artists and adjust plans accordingly.
You will follow up the execution of your plans in close cooperation with other internal departments (PR, content creation, digital marketing & advertising, DSP marketing, Brand Partnerships, Blockchain/NFT, …), external partners (Distributor, external PR agencies, …), the artists and their teams.
You will oversee the international exploitation of the releases and projects together with international partners.
In short: you will be responsible from A to Z for the marketing and release campaigns of all your artists and projects, and the first point of contact both internally and externally.
Must Have Requirements
At least 3 years of relevant experience in the music / entertainment industry, with proven history of developing and managing creative marketing campaigns for artist projects / releases.
Perfect understanding of the current trends in the music industry, the music media, streaming services and broader digital and social media landscape.
Existing network in media, streaming services, and artist community – ideally in the international dance and electronic music scene.
Creative mind that thinks out of the box and sees opportunities rather than problems in every situation.
Strong communication and organizational skills, and the ability to manage multiple projects at the same time.
Stress resistant.
We offer
A unique company culture where you can make THE difference.
A challenging working environment within one of the leading innovative companies in the global music and entertainment industry.
An exceptional opportunity to play a central role in international marketing campaigns for top tier artists and with global partners.
Competitive salary package and flexible working conditions.
Music lovers, this is your playground. Upload your resume and other relevant documents and we might speak soon. Good luck!
Languages English Dutch; Flemish Education High School Experience 3+ years"
"Charleroi","ALSTOM","Cybersecurity project manager","Req ID:100011
We create smart innovations to meet the mobility challenges of today and tomorrow. We design and manufacture a complete range of transportation systems, from high-speed trains to electric buses and driverless trains, as well as infrastructure, signalling and digital mobility solutions. Joining us means joining a truly global community of more than 38 900 people dedicated to solving real-world mobility challenges and achieving international projects with sustainable local impact.

Overall Purpose Of The Role
The Project Cybersecurity Manager (PCyM) will manage cybersecurity for mainline project under the responsibility of the Project and Regional Cybersecurity Managers.
The primary responsibilities of the Project Cybersecurity Manager are:
For project cybersecurity management:
o To define the Project Cybersecurity Management plan
o To perform security risk assessment of the solution delivered on the project.
o Taking into account the Mainline Platform solutions and additional project constraints, to specify and validate the suitable cybersecurity architectures, and counter measures for each of the non-acceptable risks.
For technical mentoring:
o To define cybersecurity solution with the Project Engineering team;
o To mentor project engineers how to implement cybersecurity solutions;
o To follow cybersecurity test implementation.
Detailed Responsibilities
Define the Project Cybersecurity Management plan following applicable Alstom processes, rules and guidelines and verify these are followed by the project.Analyze Project security needs (including standards and regulations), determine security objectives and main security risks strategy.Plan security activities within the project development life cycle, estimate costs and duration, their impacts related to project executionManage the Project Cybersecurity deliverablesDefine Cybersecurity architecture and requirement allocationProvide support during technical design meetings for cybersecurity activitiesObtain agreement from Project/Customer about the set of security measures to be implementedEstablish Cybersecurity context, and perform Cybersecurity Risk AnalysisLiaise with the mainline platform team to define the most suitable solutionCascade requirements to suppliers, and apply Cybersecurity Assurance LevelManage Third Parties RisksDefine the Cybersecurity Operating ProceduresEvaluate the Project achieved Cybersecurity levelIn case of external Cybersecurity audit, manage the relationship with auditors
Technical Competencies & Experience
To be considered for this role, candidate need to demonstrate the following skills experience and attributes:
Master’s degree in Engineering/Technology or related fieldStrong interest for CybersecurityExperience related to Cybersecurity in general, deployment experience of security technologies.Experience with direct responsibility for hands on architecture, design, developmentArchitecture concepts and techniques of systems, communication networks, operating systems and associated programming languages.Methods of Cybersecurity risk analysisStrong analytical skills with demonstrated ability for problem solvingCreativity and ability to work in a complex environmentProven planning, prioritization and organizational skillsProfessional & concise communication (written & verbal)
An agile, inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow, learn and advance in their careers. We are committed to encouraging our employees to reach their full potential, while valuing and respecting them as individuals.
Job Type:ExperiencedJob Segment: Project Manager, Manager, Technology, Management"
"Leuven","Twipe Mobile Solutions","Project Manager – Germany","Exceed our customers’ expectations through excellence in agile deliveries

Twipe is a mediatech scale-up based in Leuven, Belgium working with leading newspaper publishers in Europe and the US to grow their digital subscribers and sustain quality journalism. We offer cloud based digital edition publishing, analytics, and personalisation solutions. Our solutions accelerate the growth of newspapers like the Le Monde, The Telegraph and DuMont.

To inspire our industry, we gather and analyse industry knowledge and share insights with our growing Future of News publishers’ community.

As Project Manager you will be single point of contact and co-responsible for the ultimate success of the services and solutions that Twipe provides. Dare to make the difference and have impact from Day One!

Your responsibilities

You are the primary contact for the onboarding of new customers and for the ongoing relationship with our existing customers
You lead and follow-up on the software delivery of new features, custom configurations and platform upgrades, in close collaboration with the product and engineering team
You help and translate the wishes of our customer into clear Twipe action points and help them to exceed beyond expectations
You have end-responsibility for overall customer subscription health, working in collaboration with the business development team on opportunities for subscription growth
You act as the customer advocate by relaying feedback and escalating issues within internal teams at Twipe
Your skills

You are excited about proactively driving and tracking a consistent engagement process with customers in your portfolio
You have a passion for exceeding customer expectations and for helping customers solve problems with product-based solutions
You are highly organized and a good multi-tasker
You understand technologies like SQL, HTML, XML,…
You are a good listener and have strong communication and presentation skills
You have a strong work ethic, a real “can do” attitude
You have a Growth Mindset. You’re constantly striving to learn new things and improve
You follow industry news, regularly tinker with new technologies, and read books and blogs to keep your skills sharp
Your profile

You have a Masters degree preferably in Engineering, Computer Science, Economics or an equivalent degree
You bring 3 to 5 years of proven experience in software delivery environment as an Analyst or Project Manager
You are fluent in English and German, other languages are a strong plus
You have a keen interest in cloud, web and mobile software technologies
What do we offer?

The opportunity to make a difference from day one in a technology scale-up, solving problems of global interest for the media sector.
A steep learning curve growing your Project Management, technical and analytical competences.
A challenging job in a young & dynamic company at the fore front of innovation in emerging technologies.
The opportunity to join a young, international team with entrepreneurial spirit, at the verge of international breakthrough.
An attractive workplace at the crossroads of creativity, design and technology.
Team building events like a well-deserved Tomorrowland VIP experience, a team trip to climb Mount Etna or a skiing trip in Austria.
Interested in the transformation journey of the publishing industry and eager to be part of a growing business? Join our team!

Send your CV to jobs@twipemobile.com and we will contact you to get started on our journey together!"
"Charleroi","Alstom","Project Contract Manager","Req ID: 141474

We create smart innovations to meet the mobility challenges of today and tomorrow. We design and manufacture a complete range of transportation systems, from high-speed trains to electric buses and driverless trains, as well as infrastructure, signalling and digital mobility solutions. Joining us means joining a truly global community of more than 75 000 people dedicated to solving real-world mobility challenges and achieving international projects with sustainable local impact.
Overview:
The Project Contract Manager (PrCM) is a key member of the project team, working in close collaboration with the Project Manager and core project team. He/she provides guidance and leadership to develop, implement, and drive contract/claim management and risk mitigation strategies in accordance with Alstom’s business objectives; including extensions of time (EoTs), variations orders, contract amendments. He/she ensures proper record keeping and file preparation in support of robust claim files.

The Project Contract Manager will report to the Head of Contract Management Benelux and may functionally report to Project Manager
Network and links:Internal:
Customer Director

Project Team (Project Director, Project Manager and Project Team members such as Project planner, Project financial controller)

Sourcing Legal Counsels and Contract Management Teams worldwide

Legal & Compliance Department

Product / Platform teams

Contract Management Community

Project Management Office (PMO Central function)

Project Directors and Project Managers worldwide

Sourcing and Procurement

Tender teams
External:
Customers, Partners, and suppliers/subcontractors
Key accountabilities of the role:
Ensures application of Contract, Claims and Insurance Management Manual (CCIM) and Alstom governance.

Prepares Contract Summary and ensure it is widely communicated and regularly updated.

Carefully analyzes the contract to build and drive implementation of Contract/Claim Management Strategy Plan.

Ensures elaboration of the CDRL by the Project Team members is launched in time, is accurately communicated, and updated.

Monitors Works toward contract obligations, including monitoring of project schedule toward achieving contractual milestones.

Ensures timely issuance of contractual notices to customers/partners.

Establishes and implement project specific commercial procedures, particularly regarding correspondences, notifications, insurance, variation requests/orders and claims preparation files.

In collaboration with Documentation Controller and/or Contract Administrator, ensures a reliable filing and easy access of correspondence from and to customers/partners.

In collaboration with Project Planner establishes and implements a process for detecting, identifying and recording delay-events for substantiating EoT claims.

Monitors/manages correspondence by analyzing (for and with Project Manager) incoming and outgoing correspondence to customers/partners.

Develops and produces any project specific processes and ways of working for contract/claim management.

Develops a pragmatic commercial approach based on contractual analysis of the project, to protect, on a daily basis, Alstom interests toward customers and partners.

Carefully monitors, records, and notifies customer/partners regarding claims/counterclaims and prepares and manages all elements and supporting documentation for claims/counterclaims negotiations.

Monitors customer/partner requests for variations / change orders / extensions of time. Provides follow-up, as necessary, to drive to transactional closure, including updates to the VO/VR/Delay registers, preparation of commercial offer, and prepares associated contractual letters for CD/PM approval.

Provides creative and pro-active advice on specific issues, risks, and contractual/claims activities, taking into account the contract and business objectives.

Reports on contract management and claims activities to the project, and Legal, and Contract Management teams.

Provides training on contract/claim management to key stakeholders, including project management, finance, engineering, and sourcing communities.

Anticipates events and risks associated with the contract management activities; proposes various counter-strategies and commercial solutions to keep the situation under control.

Works closely with the Project Directors, Project Managers, Project Controllers, Project Engineering Managers, Sourcing Contract Managers, and Project Planning Managers, to identify and mitigate risks; and to identify, maximize, and leverage claim opportunities.

Provides at any time, on management demand, a reliable and understandable contractual and commercial analysis of the project.

Must be able to travel up to 20% to 30% of the time.

EXPERIENCE PREREQUISITES & REQUIRED COMPETENCIES
Education:
An Engineering degree or a degree in technical or in economical/business sciences
Experience:
Minimum of four years of Contract / Claim Management experience (preferred)
Competencies & skills:
Ability to read and interpret contractual documents, including terms and conditions, planning, and technical specifications

Ability to write routine reports and correspondence.

Ability to speak effectively before groups of customers or employees of organization.

Ability to understand project financials and impact of contract/claim management on project’s profitability.

Ability to solve practical problems and deal with a variety of variables in situations.

Ability to interpret a variety of instructions furnished in writing, oral, diagram, or schedule form.

Ability to manage conflicting priorities.

To perform this job successfully, an individual should have knowledge of Contract Management systems; Project Management software; Excel Spreadsheet software and Microsoft Office Word Processing software.

Ability to be operationally effective and accountable.

Ability to work transversally and collaboratively in a strong spirit of teamwork.

Willingness and ability to be creative and bring forward new ideas and innovations.

Ability to attribute to strategic discussions on project execution, claim avoidance, securing contractual position in Project Team.

Must be able to communicate with precision and transparency.
Language skills: Fluency in written and spoken English and Dutch (mandatory).

An agile, inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow, learn and advance in their careers. We are committed to encouraging our employees to reach their full potential, while valuing and respecting them as individuals.
Job Type: <U+200B>Experienced"
"Leuven","D'Ieteren","Strategic Project Manager","Volkswagen D’Ieteren Finance (VDFin) is the undisputed market leader in the field of financial products and services for vehicles of the D’Ieteren group in Belgium: 37 years of experience, over 128.000 vehicles in fleet and a perfect synergy with the dealers of well-known brands like Volkswagen, Audi, Seat, Skoda, Porsche, Yamaha and MAN. Our goal is to guarantee the mobility of our citizens by offering flexible solutions, qualitative services and thoughtful recommendations.
VDFin’s entrepreneurial spirit and innovative ambitions make it the model of diversity and evolution within the fast changing automotive landscape. We constantly search for and create added value for our customers, dealers, brands, suppliers and shareholders.
To support our ambitions of being a market-leading MaaS, vehicle funder and fleet management company, VDFin is looking for a new way of leading its Strategic Projects. The Strategic Project Manager will demonstrate the right attitudes, the reliable skills and will be eager to deliver measurable impacts.
Profile
You are a dynamic person who wants to boost his/her career with and outspoken challenging position with impact
You have a business-oriented positive mindset, are open-minded, ready to challenge the status quo, and a real team player
You have a proven track record of leading Projects and you have a strong capability of integrating theoretical models
You have the ability to work with and communicate at all levels within an organization, developing excellent stakeholder relationships
You understand and are able to develop business cases and demonstrate robust consideration for all key business drivers (Very good knowledge of Excel)
You can make to the point and clear presentations that are impactful (mastering PowerPoint and communication)
A successful experience as consultant in a Big-4, strategy consulting firm or similar is considered as a strong asset.
Basic knowledge of automotive and/or financial services markets is a plus
You are fluent (spoken and written) in English, French and Dutch
Our ‘DRIVE’ values (Delight your customer – Be Reliable – Inspire and be inspired – Value cooperation – Enjoy the future) find an echo in your daily way of working and collaborating.
Function
Goal of the function
The Strategic Project Manager (SPM) is part of the Business Transformation Office and is responsible for the delivery of multiple impactful projects initiated to deliver major improvements in a variety of business areas.
The SPM is the lead role in driving positive changes throughout VDFin and is accountable for projects delivery, securing sustainable business benefits and sharing best practices throughout the business. The SPM sets the appropriate governance and culture on projects in order to create a clear and ambitious cadence. He/She is responsible for growing the skills of the project team members in delivering robust, sustainable and customer centric solutions while ensuring the desired Projects outcomes are measurable and profitable.
VDFin is less concerned about the methodology (Agile, Prince II, Six Sigma etc) but is very excited about the results effective Project Management can deliver.Responsibilities
Translate strategic expectations to realistic projects and bring together the relevant stakeholders throughout the group
Hands-on leader owning, shaping and delivering strategic projects across the business (for example ‘digitalization’ or ‘multi brand’)
Ensure a highly robust VDFin Projects Governance structure and create consistency of approach across VDFin Projects
Identify core processes for improvement and the measures/KPIs you will use to manage them, recognise projects opportunities and ways to fasten the transformation to reach our vision, and present those through the right set of tools (Process flow charts, Project charters, Business Cases, etc.)
Lead SteerCo with clear and impactful presentations which enables stakeholders to make the right decisions
Supervise and be a mentor/coach for the project team
Positively engage with VDFin Management, setting the pace and direction of successful Projects Delivery
In case of any questions, you can always contact Maarten Wastiau, HRBP.By sharing this job opening with people in your network you can gain a bonus of 1000 EUR via Automotivated."
"Brussel","Bridgers","IT Project Manager","We are looking for a dynamic & hands-on 4-wheel drive IT Project Manager. You have a general view on different aspects of the IT environment of a company and are an initiative taker. You love understanding problems, debugging and implementing concrete solutions with a direct impact. You have a feel for working with people, an affinity for project handling and really get things done
Your role
We have a continuous stream of IT PM positions, which means each individual vacancy is part of a specialised team so the tasks and requirements differ a bit. Together we can search the right fit!
Your profileA wide interest, affinity and broad knowledge of IT. But no developer background needed.Effective time management & multi-tasking skillsPro-activeOrganisational skillsEffective teamworkProcess orientedAbility to communicate effectivelyTaking initiativeTime managementAnalytical thinkingResponsibleDutch or French speaking, fluent in English
What we offer
A dynamic working environment with opportunities for personal development and career growth. We offer you a stimulating career through knowledge sharing and collaboration. Moreover, we offer you a permanent duration contract with an attractive package adapted to your level of experience. You will join a skilled team of open-hearted, committed experts!"
"Brussel","Bopro","Project Manager","You’re looking for a CHALLENGING JOB in a DYNAMIC and INNOVATIVE ENVIRONMENT?
You’re about to find the PERFECT MATCH!
Our services are driven by quality, innovation and digitalisation. That’s how Bopro provides the ultimate solution for every Real Estate challenge.
Thanks to our HOLISTIC APPROACH we put the ambitions, goals and challenges of our clients into a bigger, future-oriented perspective.
Within every real estate project, we aim for the OPTIMAL BALANCE BETWEEN PEOPLE, PLANET, PROSPERITY, PEACE & PARTNERSHIPS.
In this way, we turn real estate processes into responsible and sustainable developments where future generations will live, work and play.
YOU’RE EAGER TO CONTRIBUTE TO BETTER PLACES FOR THE UPCOMING GENERATIONS?
Have a closer look on this vacancy!Apply now
In search of Project Manager
As a Project Manager:
Together with your team, you are responsible for managing high-end construction and real estate projects: preparing the construction program in consultation with the client, selecting and coordinating suppliers and contractors, managing the internal and external project teams;
You achieve the objectives of the customer both in terms of budget, timing and quality as in the field of sustainability. You are the direct point of contact for the customer;
You act as intermediary between the customer and the suppliers / contractors. You communicate effectively and you report to the various stakeholders in the project;
Internally, you will be responsible for the business reporting and budgetary follow-up with regard to the projects for which you are responsible.
What do we expect from you?
You are an Engineer or Architect and you have experience as a Project Manager in the construction or real estate world.
Sustainability is more than a ""buzzword"" and you identify strongly with this view.
You have a strong sense of initiative and you work according to priorities. You are communicative and a team player.
You have experience in coaching project teams
You excel in taking responsibility, are stress resistant and flexible.
You work autonomously.
As we have projects all over the country , being bilingual is an advantage (Dutch/French).
What do we offer you?
The Bopro team consists of young talent as well as experienced staff. Customized trainings, intensive exchange of knowledge and experience, based on a structured competence management guarantee you an optimal use of your skills. Bopro cares about its employees and invests in their talents.
We provide career prospects with a high degree of responsibility in a solid company within an international context.
We offer you far-reaching autonomy within an efficient and dynamic team and a salary in line with the market based on your competences and experience.
In addition we offer flexible working hours and a broad range of extra benefits"
"Zaventem","PPD","PROJECT MANAGER - CENTRAL LABS","JOB DESCRIPTION
PPD is a leading global contract research organization providing comprehensive, integrated drug development, laboratory and lifecycle management services. At PPD, we are passionate, deliberate, and driven by our purpose- to improve health!

Envision a workplace where you have a direct impact on improving health, work alongside expert scientists, use newest technologies and collaborate with industry thought leaders and therapeutic experts. Welcome to PPD® Laboratories, where science is our passion, quality is our commitment and people are the cornerstone of our success.

As a Project Manager you will manage all aspects of study programs, while collaborating with diverse teams.

At PPD we hire the best, develop ourselves and each other, and recognize the power of being one team. We offer continued career advancement opportunities, award winning training and benefits focused on the health and wellbeing of our employees.

Summarized Purpose:

Monitors and manages all aspects of designated clinical trial protocols in Global Central Labs and is accountable for overall project performance and client’s satisfaction by meeting their needs and expectations through the life cycle of the assigned clinical trials. Provides internal consulting on project management issues and identifies opportunities for process and efficiency improvement. Acts as chief liaison to the operational personnel of major sponsors and is responsible for large study programs. Prepares and maintains process documents and acts as a back-up for the (Associate) Director PM, when needed. Mentors Project Managers.

Essential Functions:
Provides oversight and coordination of study initiation. Reviews, interprets, translates and programs study protocols into a complete and accurate database. Communicates with internal departments and external vendors and ensure the project requirements are understood, agreed and followed at all times. Facilitates the flow of technical and clinical laboratory information to all stakeholders (investigational sites, sponsors, and non-technical personnel). Consults and utilizes, where appropriate, the scientific input of laboratory management and technical staff to assist the client with management of the clinical trial.
Prepares the study specifications documents and follows the preparation according to budgets and contracts. Maintains at all times an updated study master file with version controls for specs, budgets and contracts. Ensures sponsors have authorized and signed off most recent versions of all docs and that a contract exists prior to deliver any services. Assures compliance with FDA and Good Clinical Practice guidelines, PPD SOP’s, personnel policies and procedures, PPD Exposure Control Plan, IATA, and other regulations regarding the transport of biological specimens.
During initial review of protocol, consults with internal groups and support staff regarding procedural and budgetary items and the necessity for change due to any subsequent protocol amendments. Obtains other functions’ commitment to close gaps and address issues timely and effectively. Serves as chief liaison between sponsor and all PPD internal departments performing the required tasks during all study phases. Educates Investigator sites by delivering a protocol specific lab procedures presentation and demonstration during an investigator meeting. Controls, manages and follows day to day activities during the course of the clinical trial to resolve any issues and answer queries
Actively consults with IT and data management development groups in the design, validation and implementation of new software and functionalities pertinent to project management activities.
Consults with BD and finance staff during initial project documentation review on standard services and costs, supporting RFP feasibility assessments. Advises on possible solutions if needed. Drafts responses for proposals.
Guides and supports work flow of Projects Managers and Set-up Administrators with special attention to training junior personnel. Performs as a mentor and trainer for (newly assigned) Project Managers, identifies areas for development and efficiencies in performing tasks. Authors, reviews, revises and implements relevant procedural documents. Serves as a back-up for the (Associate) Director PM, when needed.
Job Qualification
Education and Experience:
Bachelor's degree or equivalent and relevant formal academic / vocational qualification
Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable to 2+ years’) or equivalent combination of education, training, & experience.

Knowledge, Skills and Abilities:
Strong verbal, written and presentation skills
Superior time management, planning, and organizational skills
Competent with specific computers and enterprise applications, including office productivity
Ability to program the IT system according to protocol requirements
Proven analytical skills
Demonstrated compliance with procedures and policies
Ability to perform multiple tasks effectively in a stressful environment
Extensive knowledge and experience in Project Management in Global Central Lab environment
Strong client relationship management skills
Ability to work effectively with multi-level teams
PPD Defining Principles:

- We have a strong will to win - We earn our customer’s trust - We are gamechangers - We do the right thing - We are one PPD -

If you resonate with our five principles above, and ultimately wish to accelerate the delivery of safe and effective therapeutics for some of the world’s most urgent health needs, then please submit your application – we’d love to hear from you
Diversity Statement
PPD is proud to be an affirmative action employer that values diversity as a strength and fosters an environment of mutual respect. PPD is committed to providing equal employment opportunities without regard to age, race, color, pregnancy, national origin, religion, sex, gender identity, sexual orientation, disability, veteran status or status within any other protected group."
"België","XenomatiX","Project Manager (CMOS)","Developing 3d vision together
What you’ll do

Using your expertise in CMOS technology, you will contribute to the next generation solid state Lidar systems. As a member of the R&D team, you will create a pixel architecture to push the limits of light-based range detection. You will also interact with fabs and other CMOS specialists to understand and exceed state-of-the-art CMOS design.

Your job responsibilities will consist of the following:
Define pixel architecture based on application needs, taking feasibility of existing technology and automotive requirements into account.
Introduce new pixel architecture technologies to further improve time-of-flight performance.
Interact with design and manufacturing partners to define technical content for collaboration and define acceptance criteria as part of the deliverables.
Close follow up of design, both internally and externally
Interact with foundries to understand critical steps in the manufacturing process.
Optical-electrical modelling of (existing) pixel architectures to gain further detailed understanding of system behavior.
Designing experiments and performing experiments to validate generated models and hypotheses.
Interact with electronics team on imager integration and interfacing
What you’ll need
You possess a technical degree at university level
You have deep knowledge of camera technology, preferably in an automotive context
You have at least 3 years of experience in CMOS design and architecture
Experience in state-of-the-art time-of-flight is a plus
You demonstrate good communication skills
You are results-focused
What we offer
Great team spirit: we are a motivated, dynamic and committed team, we care about each other and value teamwork.
We share one common vision: we thrive to contribute to the mobility evolution and build a future where roads are a safer place for everyone
Entrepreneurial mindset: we never stop learning, we embrace innovation and change
Growing with us: you become part of a growing company that values and develops its people. You will play a central role in the company’s development and success. You will have the opportunity to take on different challenges, grow and learn.
High tech environment full of technical talent
Remuneration in line with skillset and experience
The opportunity is here, make it yours!
Submit your CV and motivation letter to hr@xenomatix.com, referring to the position XV2011"
